name,slug,value,date_of_information,ranking,region
"Liechtenstein","liechtenstein","$139,100","2009",1,"Europe"
"Luxembourg","luxembourg","$117,700","2022",2,"Europe"
"Monaco","monaco","$115,700","2015",3,"Europe"
"Ireland","ireland","$112,400","2022",4,"Europe"
"Singapore","singapore","$108,000","2022",5,"East and Southeast Asia"
"Qatar","qatar","$96,600","2022",6,"Middle East"
"Isle of Man","isle-of-man","$84,600","2014",7,"Europe"
"Bermuda","bermuda","$81,200","2022",8,"North America"
"United Arab Emirates","united-arab-emirates","$74,900","2022",9,"Middle East"
"Switzerland","switzerland","$72,300","2022",10,"Europe"
"Cayman Islands","cayman-islands","$71,400","2022",11,"Central America and the Caribbean"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015",12,"South America"
"Norway","norway","$67,500","2022",13,"Europe"
"United States","united-states","$64,600","2022",14,"North America"
"Gibraltar","gibraltar","$61,700","2014",15,"Europe"
"San Marino","san-marino","$61,600","2021",16,"Europe"
"Denmark","denmark","$59,900","2022",17,"Europe"
"Netherlands","netherlands","$59,200","2022",18,"Europe"
"Brunei","brunei","$58,700","2022",19,"East and Southeast Asia"
"Hong Kong","hong-kong","$58,500","2022",20,"East and Southeast Asia"
"Jersey","jersey","$56,600","2016",21,"Europe"
"Austria","austria","$55,900","2022",22,"Europe"
"Iceland","iceland","$55,600","2022",23,"Europe"
"Sweden","sweden","$55,300","2022",24,"Europe"
"Germany","germany","$54,000","2022",25,"Europe"
"Belgium","belgium","$53,300","2022",26,"Europe"
"Guernsey","guernsey","$52,500","2014",27,"Europe"
"Bahrain","bahrain","$51,900","2022",28,"Middle East"
"Macau","macau","$51,800","2022",29,"East and Southeast Asia"
"Australia","australia","$51,100","2022",30,"Australia and Oceania"
"Saudi Arabia","saudi-arabia","$50,200","2022",31,"Middle East"
"Andorra","andorra","$49,900","2015",32,"Europe"
"Kuwait","kuwait","$49,400","2022",33,"Middle East"
"Finland","finland","$49,400","2022",34,"Europe"
"Canada","canada","$49,000","2022",35,"North America"
"Malta","malta","$48,600","2022",36,"Europe"
"Taiwan","taiwan","$47,800","2019",37,"East and Southeast Asia"
"United Kingdom","united-kingdom","$47,600","2022",38,"Europe"
"France","france","$45,900","2022",39,"Europe"
"Korea, South","korea-south","$45,600","2022",40,"East and Southeast Asia"
"New Zealand","new-zealand","$45,200","2022",41,"Australia and Oceania"
"Cyprus","cyprus","$45,000","2022",42,"Europe"
"Israel","israel","$44,400","2022",43,"Middle East"
"Italy","italy","$44,300","2022",44,"Europe"
"Sint Maarten","sint-maarten","$41,900","2022",45,"Central America and the Caribbean"
"Greenland","greenland","$41,800","2015",46,"North America"
"Japan","japan","$41,600","2022",47,"East and Southeast Asia"
"Aruba","aruba","$41,300","2022",48,"Central America and the Caribbean"
"Czechia","czechia","$41,100","2022",49,"Europe"
"Slovenia","slovenia","$41,000","2022",50,"Europe"
"Spain","spain","$40,200","2022",51,"Europe"
"Faroe Islands","faroe-islands","$40,000","2014",52,"Europe"
"Lithuania","lithuania","$40,000","2022",53,"Europe"
"Estonia","estonia","$37,700","2022",54,"Europe"
"Poland","poland","$37,700","2022",55,"Europe"
"Virgin Islands","virgin-islands","$37,000","2016",56,"Central America and the Caribbean"
"Portugal","portugal","$35,800","2022",57,"Europe"
"New Caledonia","new-caledonia","$35,700","2021",58,"Australia and Oceania"
"Guam","guam","$35,600","2016",59,"Australia and Oceania"
"Guyana","guyana","$35,600","2022",60,"South America"
"Hungary","hungary","$35,400","2022",61,"Europe"
"Oman","oman","$35,300","2022",62,"Middle East"
"Bahamas, The","bahamas-the","$34,700","2022",63,"Central America and the Caribbean"
"Puerto Rico","puerto-rico","$34,300","2022",64,"Central America and the Caribbean"
